,boro_nm,ofns_desc,latitude,longitude,zip,law_category,date
352898,BROOKLYN,INTOXICATED & IMPAIRED DRIVING,40.68157145,-73.92578529,11233,MISDEMEANOR,2022-09-03
352900,STATEN ISLAND,OFF. AGNST PUB ORD SENSBLTY &,40.646645,-74.083902,10301,MISDEMEANOR,2022-09-01
352901,MANHATTAN,OFF. AGNST PUB ORD SENSBLTY &,40.813254,-73.951546,10027,MISDEMEANOR,2022-09-04
352903,QUEENS,HARRASSMENT 2,40.653767,-73.738093,11422,VIOLATION,2022-09-03
352905,BROOKLYN,PETIT LARCENY,40.65430947,-74.00441848,11232,MISDEMEANOR,2022-09-04
352908,QUEENS,GRAND LARCENY OF MOTOR VEHICLE,40.68453277,-73.7539705,11413,FELONY,2022-09-02
352912,BROOKLYN,GRAND LARCENY OF MOTOR VEHICLE,40.65753747,-73.90274542,11212,FELONY,2022-09-02
352913,MANHATTAN,FELONY ASSAULT,40.7338967584511,-74.0053958373447,10014,FELONY,2022-09-02
352918,BROOKLYN,FELONY ASSAULT,40.6713598203364,-73.8818110231735,11208,FELONY,2022-09-01
352921,BROOKLYN,FELONY ASSAULT,40.664121282631,-73.9477648403751,11225,FELONY,2022-09-01
352923,BROOKLYN,HARRASSMENT 2,40.676913,-73.921385,11233,VIOLATION,2022-09-03
352926,BRONX,ROBBERY,40.81401,-73.929683,10451,FELONY,2022-09-02
352927,BROOKLYN,MISCELLANEOUS PENAL LAW,40.701477,-73.94442,11206,FELONY,2022-09-01
352930,BROOKLYN,PETIT LARCENY,40.633857,-74.026815,11209,MISDEMEANOR,2022-09-04
352933,BRONX,DANGEROUS DRUGS,40.832627,-73.868942,10472,FELONY,2022-09-03
352935,STATEN ISLAND,ASSAULT 3 & RELATED OFFENSES,40.60657,-74.118633,10314,MISDEMEANOR,2022-09-03
352945,BRONX,PETIT LARCENY,40.827064,-73.893393,10459,MISDEMEANOR,2022-09-02
352947,MANHATTAN,GRAND LARCENY,40.751779,-73.975803,10017,FELONY,2022-09-03
352948,MANHATTAN,HARRASSMENT 2,40.755018,-73.991405,10018,VIOLATION,2022-09-01
352949,QUEENS,BURGLARY,40.774402,-73.844977,11354,FELONY,2022-09-02
352951,MANHATTAN,FELONY ASSAULT,40.7338967584511,-74.0053958373447,10014,FELONY,2022-09-03
352954,BRONX,OFFENSES AGAINST PUBLIC ADMINI,40.86478,-73.895354,10468,MISDEMEANOR,2022-09-02
352958,BRONX,OFF. AGNST PUB ORD SENSBLTY &,40.81094883,-73.92714381,10454,MISDEMEANOR,2022-09-01
352959,BROOKLYN,VEHICLE AND TRAFFIC LAWS,40.65709573,-73.95024855,11203,MISDEMEANOR,2022-09-01
352962,MANHATTAN,ASSAULT 3 & RELATED OFFENSES,40.722189,-74.003369,10013,MISDEMEANOR,2022-09-04
352966,QUEENS,OFF. AGNST PUB ORD SENSBLTY &,40.768829,-73.768471,11361,MISDEMEANOR,2022-09-01
352970,MANHATTAN,GRAND LARCENY OF MOTOR VEHICLE,40.813114,-73.960162,10115,FELONY,2022-09-02
352972,STATEN ISLAND,HARRASSMENT 2,40.628215,-74.157255,10303,VIOLATION,2022-09-03
352980,BROOKLYN,ASSAULT 3 & RELATED OFFENSES,40.661478,-73.95217,11225,MISDEMEANOR,2022-09-03
352982,MANHATTAN,ASSAULT 3 & RELATED OFFENSES,40.76603876,-73.96751696,10065,MISDEMEANOR,2022-09-01
